sep=,
"Imdb id";"Tvdb id";"Title";"Original title";"Year";"Seasons";"Episodes";"Genres";"Tags";"Ratings";"Duration min";"Country";"Production company";"Path";"Total size"
"";"340234";"(Des)encanto";"Disenchantment";"2018";"2";"30";"Animación, Comedia, Fantasía";"";"tvdb - 9,00/10";"29";"Estados Unidos";"Netflix";"P:\TVSeries\DibujosAnimados\(Des)encanto";"25298734814"
"tt11396318";"376434";"#Luimelia";"#Luimelia";"2020";"4";"19";"Comedia, Romántica";"";"imdb - 7,50/10";"9";"España";"ATRESplayer Premium";"P:\TVSeries\Series\#Luimelia";"7790463757"
"";"nu0001";"100 años de cómic";"";"1993";"1";"13";"Documental";"Culturales, Artes";"";"28";"";"Icaria Multimedia";"P:\TVSeries\Documentales\100 Años del Comic";"5038744857"
"tt2661044";"268592";"Los 100";"The 100";"2014";"7";"100";"Acción, Drama, Ciencia Ficción, Thriller";"";"{tvdb=tvdb - 8,30/10, imdb=imdb - 7,60/10}";"41";"Estados Unidos";"The CW";"P:\TVSeries\Series\Los 100";"166491417831"
"tt3148266";"272644";"12 Monos";"12 Monkeys";"2015";"3";"33";"Acción, Ciencia Ficción";"";"{tvdb=tvdb - 8,00/10, imdb=imdb - 7,70/10}";"45";"Estados Unidos";"Syfy";"P:\TVSeries\Series\12 Monos";"56049707311"
"";"nu0002";"150 Cartoon Classics";"150 Cartoon Classics";"2006";"1";"1";"Animación, Familiar";"";"";"120";"Reino Unido";"Digital 1 Stop";"P:\TVSeries\DibujosAnimados\150 Cartoon Classics";"1518458045"
"tt3340712";"276360";"19-2";"19-2";"2014";"4";"38";"Acción, Drama";"";"{tvdb=tvdb - 8,30/10, imdb=imdb - 8,20/10}";"44";"Canadá";"CTV Drama (Bravo)";"P:\TVSeries\Series\19-2 (2014)";"66631456074"
"tt7371666";"350796";"1983";"1983";"2018";"1";"8";"Crimen, Drama, Thriller";"";"imdb - 6,80/10";"50";"Polonia";"Netflix";"P:\TVSeries\Series\1983";"15701207076"
"tt2983290";"292192";"1992";"1992 (Mille novecento novantadue)";"2015";"1";"8";"Drama";"";"{tvdb=tvdb - 8,90/10, imdb=imdb - 7,50/10}";"60";"Italia";"Sky Atlantic (IT)";"P:\TVSeries\Series\1992";"16995418395"
"tt6145878";"329615";"21 Thunder";"21 Thunder";"2017";"1";"8";"Acción, Drama";"";"{tvdb=tvdb - 9,00/10, imdb=imdb - 6,20/10}";"45";"Canadá";"CBC (CA)";"P:\TVSeries\Series\21 Thunder";"13154332799"
"tt11542758";"375010";"22 de julio";"22 July";"2020";"1";"6";"Drama";"";"imdb - 7,90/10";"50";"Noruega";"NRK1";"P:\TVSeries\Series\22 de julio";"11185932275"
"tt2879552";"301824";"22.11.63";"11.22.63";"2016";"1";"8";"Drama, Ciencia Ficción";"";"{tvdb=tvdb - 8,00/10, imdb=imdb - 8,20/10}";"50";"Estados Unidos";"Hulu";"P:\TVSeries\Series\22.11.63";"14869768164"
"tt0285331";"76290";"24";"24";"2001";"10";"204";"Acción, Aventuras, Drama, Thriller";"";"{tvdb=tvdb - 8,80/10, imdb=imdb - 8,30/10}";"45";"Estados Unidos";"FOX";"P:\TVSeries\Series\24";"265748535937"
"tt5345490";"311787";"24: Legacy";"24: Legacy";"2016";"1";"12";"Acción, Crimen, Drama";"";"{tvdb=tvdb - 7,40/10, imdb=imdb - 6,20/10}";"45";"Estados Unidos";"FOX";"P:\TVSeries\Series\24 Legacy";"21058517487"
"tt4922804";"250749";"3%";"3%";"2011";"4";"33";"Drama, Ciencia Ficción, Thriller";"";"{tvdb=tvdb - 8,10/10, imdb=imdb - 7,40/10}";"45";"Brasil";"Netflix";"P:\TVSeries\Series\3%";"56636114811"
"tt9764386";"369414";"30 monedas";"30 monedas";"2020";"1";"8";"Terror, Misterio, Thriller";"";"imdb - 7,20/10";"60";"España";"HBO Europe";"P:\TVSeries\Series\30 monedas";"21234093090"
"tt3101352";"274115";"37 días";"37 Days";"2014";"1";"3";"Drama, Bélica, Histórica";"";"{tvdb=tvdb - 8,50/10, imdb=imdb - 8,10/10}";"60";"Reino Unido";"BBC Two";"P:\TVSeries\Series\37 días";"5678453886"
"tt5754602";"324080";"4 Blocks (Four Blocks)";"4 Blocks (Four Blocks)";"2017";"1";"6";"Crimen, Drama";"";"{tvdb=tvdb - 8,50/10, imdb=imdb - 8,20/10}";"45";"Alemania";"TNT Serie";"P:\TVSeries\Series\4 Blocks (Four Blocks)";"12840265683"
"tt0386907";"79546";"5 días para media noche";"5ive Days to Midnight";"2004";"1";"5";"Drama, Ciencia Ficción";"";"{tvdb=tvdb - 7,20/10, imdb=imdb - 6,70/10}";"45";"Estados Unidos";"Syfy";"P:\TVSeries\Series\5 días para media noche";"1602822458"
"tt11617848";"387056";"50 m²";"50M2";"2021";"1";"8";"Comedia, Drama, Thriller";"";"imdb - 7,00/10";"46";"Turquía";"Netflix";"P:\TVSeries\Series\50M2";"14554038787"
"tt2197797";"256204";"666 Park Avenue";"666 Park Avenue";"2012";"1";"13";"Drama, Fantasía";"";"{tvdb=tvdb - 7,80/10, imdb=imdb - 6,80/10}";"45";"Estados Unidos";"ABC (US)";"P:\TVSeries\Series\666 Park Avenue";"4381381282"
"tt0192877";"83853";"7 vidas";"7 vidas";"1999";"15";"204";"Comedia";"";"{tmdb=tmdb - 6,60/10, imdb=imdb - 7,10/10}";"60";"España";"Estudios Picasso / Mediaset España";"P:\TVSeries\Series\7 vidas";"86989637326"
"tt6374028";"353685";"8 días";"8 Days";"2019";"1";"8";"Ciencia Ficción, Thriller";"";"imdb - 6,70/10";"44";"Alemania";"Sky Deutschland";"P:\TVSeries\Series\8 Días";"17246377504"
"tt7235466";"337907";"9-1-1";"9-1-1";"2018";"3";"43";"Acción, Crimen, Drama";"";"{tvdb=tvdb - 7,80/10, imdb=imdb - 7,70/10}";"43";"Estados Unidos";"FOX";"P:\TVSeries\Series\9-1-1";"74173952694"
"tt10323338";"364080";"9-1-1: Lone Star";"9-1-1: Lone Star";"2020";"1";"10";"Acción, Crimen, Drama";"";"imdb - 6,80/10";"43";"Estados Unidos";"FOX";"P:\TVSeries\Series\9-1-1 Lone Star";"18119913533"
"tt0248654";"75450";"A dos metros bajo tierra";"Six Feet Under";"2001";"5";"63";"Comedia, Drama";"";"{tvdb=tvdb - 8,90/10, imdb=imdb - 8,70/10}";"55";"Estados Unidos";"HBO";"P:\TVSeries\Series\A dos metros bajo tierra";"120270543966"
